Points_num,Min_date,Max_date,date2012_p,date2013_p,date2014_p,date2015_p,date2016_p,date2017_p,date2018_p,date2019_p,date2020_p,date2021_p,CONTINENT,area,Type,Nation,Locations,ORIG_FID,geometry
247,2012-01-22,2020-02-11,3,3,0,6,12,16,29,46,3,0,Asia,0.266307,0,India,"[84.5486400000000,22.2049600000000;84.5524400000000,22.2099700000000]",20697,POINT (84.55054000000001 22.207465)
6646,2012-01-30,2021-02-10,36,36,308,272,379,181,499,1014,346,456,Asia,11.615,0,India,"[83.7401100000000,22.0158500000000;83.7751000000000,22.0398200000000]",20698,POINT (83.757605 22.027834999999996)
357,2013-11-14,2021-03-01,0,0,0,0,1,3,71,17,31,14,Asia,0.747543,0,India,"[83.7046100000000,22.0628400000000;83.7132700000000,22.0690800000000]",20699,POINT (83.70894 22.065959999999997)
8691,2012-01-20,2021-01-05,255,255,883,1037,637,491,174,32,172,661,Asia,5.07536,0,India,"[83.7145200000000,22.0493200000000;83.7315800000000,22.0708200000000]",20700,POINT (83.72305 22.06007)
2800,2012-01-22,2021-02-27,477,477,173,70,62,69,0,39,49,78,Asia,2.10068,0,India,"[74.9412200000000,29.9034300000000;74.9595600000000,29.9133700000000]",20701,POINT (74.95039 29.908399999999997)
85,2013-09-27,2021-04-16,0,0,13,4,2,10,0,4,1,3,Asia,0.184327,0,India,"[74.9525100000000,29.9169700000000;74.9565600000000,29.9209200000000]",20702,POINT (74.95453499999999 29.918945)
23,2016-05-25,2017-07-08,0,0,0,0,5,5,0,0,0,0,Asia,0.148203,0,India,"[75.2295700000000,29.9136000000000;75.2327700000000,29.9176100000000]",20703,POINT (75.23117 29.915605000000003)
56,2012-01-23,2020-10-11,13,13,4,0,0,0,0,0,1,0,Asia,0.088088,0,India,"[74.3793600000000,26.0804200000000;74.3815300000000,26.0838200000000]",20704,POINT (74.38044500000001 26.08212)
628,2012-01-24,2021-01-15,36,36,34,34,26,65,0,61,46,12,Asia,0.442729,0,India,"[76.6690500000000,27.5138300000000;76.6759500000000,27.5191700000000]",20705,POINT (76.6725 27.516499999999997)
617,2012-02-25,2021-11-25,28,28,21,32,67,59,0,34,3,43,Asia,0.528344,0,India,"[76.7940100000000,28.1171000000000;76.8014900000000,28.1230100000000]",20706,POINT (76.79775000000001 28.120055)
79,2012-10-27,2021-03-16,1,1,0,4,5,13,0,7,7,7,Asia,0.152859,0,India,"[76.8764700000000,28.1476100000000;76.8802300000000,28.1510100000000]",20707,POINT (76.87835 28.14931)
1969,2012-01-20,2021-02-15,271,271,344,120,12,7,0,6,22,4,Asia,0.763437,0,India,"[71.4943100000000,25.9262900000000;71.5043000000000,25.9328300000000]",20708,POINT (71.499305 25.929560000000002)
99,2014-10-26,2021-11-08,0,0,6,19,3,1,0,12,15,8,Asia,0.061307,0,India,"[71.5682800000000,25.9055400000000;71.5708500000000,25.9075800000000]",20709,POINT (71.569565 25.906560000000002)
484,2015-09-06,2019-02-03,0,0,0,57,130,45,0,10,0,0,Asia,0.477026,0,India,"[71.7643700000000,25.2958500000000;71.7723600000000,25.3009200000000]",20710,POINT (71.768365 25.298385)
42,2013-10-30,2016-06-16,0,0,0,12,7,0,0,0,0,0,Asia,0.295307,0,India,"[71.7527000000000,25.2863900000000;71.7580700000000,25.2910600000000]",20711,POINT (71.755385 25.288725000000003)
18,2017-06-12,2019-03-09,0,0,0,0,0,2,0,1,0,0,Asia,0.113249,0,India,"[71.5651400000000,25.4446600000000;71.5685600000000,25.4474800000000]",20712,POINT (71.56685 25.44607)
77,2012-04-03,2020-02-21,5,5,5,0,0,0,0,0,2,0,Asia,0.093466,0,India,"[71.4971900000000,25.9314600000000;71.5014000000000,25.9333600000000]",20713,POINT (71.499295 25.93241)
36,2017-02-20,2021-06-01,0,0,0,0,0,12,0,1,2,5,Asia,0.217661,0,India,"[73.2198300000000,27.8277700000000;73.2243000000000,27.8319600000000]",20714,POINT (73.222065 27.829864999999995)
164,2012-01-23,2021-09-28,4,4,4,11,27,9,0,2,17,20,Asia,0.132776,0,India,"[76.1881400000000,25.6703300000000;76.1917000000000,25.6733900000000]",20715,POINT (76.18992 25.671860000000002)
2358,2012-01-22,2021-10-13,68,68,234,185,226,151,0,98,89,64,Asia,0.803299,0,India,"[74.6299200000000,24.9286000000000;74.6379300000000,24.9368900000000]",20716,POINT (74.633925 24.932744999999997)
882,2012-01-29,2021-09-30,73,73,70,67,69,77,0,41,66,90,Asia,0.20209,0,India,"[74.6058100000000,24.7634500000000;74.6108200000000,24.7667800000000]",20717,POINT (74.608315 24.765115)
1194,2012-01-23,2021-10-11,44,44,56,57,64,74,0,70,65,74,Asia,0.428991,0,India,"[74.6041200000000,24.7602100000000;74.6108400000000,24.7654800000000]",20718,POINT (74.60748 24.762845000000002)
495,2013-09-06,2021-07-15,0,0,38,26,54,67,0,23,16,24,Asia,0.283906,0,India,"[74.6672800000000,24.7114900000000;74.6720100000000,24.7164400000000]",20719,POINT (74.669645 24.713965)
3176,2012-01-20,2021-03-16,292,292,307,124,154,120,0,207,96,108,Asia,0.697095,0,India,"[74.6795700000000,24.6382500000000;74.6880300000000,24.6450400000000]",20720,POINT (74.68379999999999 24.641645)
1415,2012-11-12,2021-02-20,3,3,29,44,100,148,0,166,236,129,Asia,0.621248,0,India,"[74.6274500000000,24.6583800000000;74.6366800000000,24.6639300000000]",20721,POINT (74.632065 24.661155)
148,2013-08-31,2021-10-03,0,0,8,7,11,15,0,8,3,3,Asia,0.073182,0,India,"[74.6713400000000,24.7128400000000;74.6729800000000,24.7165200000000]",20722,POINT (74.67215999999999 24.71468)
105,2013-10-03,2019-03-05,0,0,4,4,19,16,0,1,0,0,Asia,0.318364,1,India,"[75.1995700000000,26.7165500000000;75.2049300000000,26.7215200000000]",20723,POINT (75.20224999999999 26.719035)
93,2012-01-23,1899-12-30,15,15,8,7,0,0,0,0,0,0,Asia,0.329007,0,India,"[75.5699500000000,26.8076800000000;75.5779100000000,26.8111300000000]",20724,POINT (75.57393 26.809404999999998)
1565,2012-01-23,2021-07-24,101,101,88,82,97,73,0,115,99,153,Asia,0.366056,0,India,"[76.1267200000000,27.6653000000000;76.1331500000000,27.6700700000000]",20725,POINT (76.129935 27.667685)
56,2013-11-03,2021-11-14,0,0,3,10,5,4,0,0,0,4,Asia,0.155063,0,India,"[70.5353200000000,27.3336600000000;70.5392100000000,27.3371400000000]",20726,POINT (70.53726499999999 27.3354)
20,2015-02-11,2016-01-26,0,0,0,2,7,0,0,0,0,0,Asia,0.192423,0,India,"[76.0979000000000,24.5232000000000;76.1021700000000,24.5268600000000]",20727,POINT (76.10003499999999 24.525029999999997)
131,2012-01-28,2021-01-20,15,15,3,0,7,10,0,9,5,15,Asia,0.131261,0,India,"[73.6828500000000,26.6033500000000;73.6863900000000,26.6064900000000]",20728,POINT (73.68462 26.60492)
576,2013-08-26,2021-02-05,10,10,38,59,76,72,0,60,78,87,Asia,0.408363,0,India,"[73.5131000000000,26.8705900000000;73.5182900000000,26.8772800000000]",20729,POINT (73.515695 26.873935)
1216,2012-01-20,2021-12-18,61,61,89,78,88,81,0,109,47,63,Asia,0.422858,0,India,"[75.9504400000000,24.7118400000000;75.9563600000000,24.7176600000000]",20730,POINT (75.9534 24.71475)
98,2012-03-14,2020-02-24,7,7,1,11,6,4,0,4,13,0,Asia,0.1496,1,India,"[73.7424700000000,26.6424700000000;73.7462400000000,26.6458300000000]",20731,POINT (73.744355 26.64415)
1365,2012-01-28,2021-10-29,20,20,87,97,102,81,0,59,72,81,Asia,1.03148,0,India,"[73.5121400000000,26.8705600000000;73.5197400000000,26.8821000000000]",20732,POINT (73.51594 26.876330000000003)
191,2012-12-13,2021-02-21,2,2,2,2,12,25,0,23,23,19,Asia,0.194419,0,India,"[73.4659900000000,26.9254400000000;73.4703100000000,26.9292700000000]",20733,POINT (73.46815000000001 26.927355)
886,2012-01-23,2021-09-17,53,53,84,53,44,48,0,47,35,58,Asia,0.357058,0,India,"[74.1228400000000,26.2950000000000;74.1285500000000,26.3002600000000]",20734,POINT (74.125695 26.29763)
1388,2012-01-22,2021-10-14,60,60,65,65,70,129,0,110,117,136,Asia,0.782628,0,India,"[74.1865300000000,26.2632800000000;74.1923000000000,26.2746800000000]",20735,POINT (74.189415 26.26898)
1717,2012-01-20,2021-10-12,198,198,146,103,68,19,0,41,85,106,Asia,0.476928,0,India,"[73.0912600000000,24.8181100000000;73.0977600000000,24.8242500000000]",20736,POINT (73.09451 24.821180000000002)
1995,2012-01-21,2021-02-08,102,102,112,130,128,138,0,137,113,165,Asia,0.501518,0,India,"[72.9998400000000,24.6858100000000;73.0060000000000,24.6926200000000]",20737,POINT (73.00292 24.689215)
266,2013-08-26,2021-12-06,0,0,36,26,42,16,0,5,0,1,Asia,0.319008,0,India,"[73.8148300000000,24.6016300000000;73.8211500000000,24.6058200000000]",20738,POINT (73.81799 24.603725)
56,2016-11-22,2021-11-04,0,0,0,0,2,2,0,9,17,6,Asia,0.085735,0,India,"[73.8735700000000,24.6564300000000;73.8763500000000,24.6589900000000]",20739,POINT (73.87496 24.65771)
310,2013-03-28,2021-02-14,0,0,7,9,11,16,38,33,18,17,Asia,0.300981,0,India,"[79.0864000000000,11.1737500000000;79.0909300000000,11.1785000000000]",20740,POINT (79.08866499999999 11.176124999999999)
348,2012-01-20,2021-05-28,10,10,2,39,35,26,16,21,6,15,Asia,0.265074,0,India,"[79.6979100000000,12.6412500000000;79.7017800000000,12.6461400000000]",20741,POINT (79.699845 12.643695000000001)
337,2018-03-17,2021-03-14,0,0,0,0,0,0,28,76,110,35,Asia,0.275821,0,India,"[79.8048800000000,11.3020300000000;79.8095200000000,11.3062400000000]",20742,POINT (79.8072 11.304135)
3111,2012-01-20,2021-05-15,252,252,226,183,156,89,128,144,91,68,Asia,0.921704,0,India,"[77.9185900000000,11.8062700000000;77.9283300000000,11.8131600000000]",20743,POINT (77.92346 11.809715)
